,date,text
34,2022-04-13 12:59:44,@mfa_russia @RusembUkraine @MFA_Ukraine @JosepBorrellF @vonderleyen @RusMission_EU @EUinRussia Russia's legacy for the next decades #russia #putin https://t.co/5eL8g6xb6z
35,2022-04-13 12:59:43,"RT @InnaSovsun: Latin American countries have finally joined the anti-russian front🔥
Chile🇨🇱 and Argentina🇦🇷 have stopped selling lithium t…"
36,2022-04-13 12:59:39,RT @lesiavasylenko: 16 y.o. Karina raped by #Russia soldiers and shot in the head. Her mother’s search for her ended as her tortured body w…
37,2022-04-13 12:59:37,"RT @Nohelema: World #WarCriminals: 

#IsayasAfewerki of #Eritrea in #Tigray
#AbiyAhmed of #Ethiopia in #Tigray
#XiJinping of #China in #Uyg…"
38,2022-04-13 12:59:35,"RT @nexta_tv: ❗️The #UK has significantly expanded its sanctions list.  In its updated version, there are 206 individuals from #Russia and…"
39,2022-04-13 12:59:34,"RT @Antiwarcom: Slovakia in Talks With #NATO Allies to Send MiG-29 Fighter Jets to Ukraine
German arms maker Rheinmetall is ready to send t…"
40,2022-04-13 12:59:33,"RT @Blue_Sauron: MRLS and artillery units of the Ukrainian 14th Mechanized Brigade hammering Russian forces.
#Russia #Ukraine https://t.co/…"
41,2022-04-13 12:59:32,RT @lesiavasylenko: 16 y.o. Karina raped by #Russia soldiers and shot in the head. Her mother’s search for her ended as her tortured body w…
42,2022-04-13 12:59:31,"RT @Blue_Sauron: MRLS and artillery units of the Ukrainian 14th Mechanized Brigade hammering Russian forces.
#Russia #Ukraine https://t.co/…"
43,2022-04-13 12:59:30,"Why isn t #Boris resigning? The #Rothschild family (Lady Rothschild is in the photo) selected &amp; backed him in 2017. He was foreign minister then &amp; PM in 2019.
For as long as that #DavosAgenda #NWO Family of bankers is behind him, UK is stuck &amp; will go to #war against #Russia. https://t.co/GRDaxvgMGJ"
44,2022-04-13 12:59:27,"RT @AlArabiya_Eng: #Russia’s tactics in #Ukraine are similar to its military offensive in #Syria, Ukraine’s Foreign Affairs Minister Dmytro…"
45,2022-04-13 12:59:23,"RT @Blue_Sauron: MRLS and artillery units of the Ukrainian 14th Mechanized Brigade hammering Russian forces.
#Russia #Ukraine https://t.co/…"
46,2022-04-13 12:59:22,RT @number924383999: This greedy callous kid turned into a murderer of thousands of innocent people and actually believes he has the right…
47,2022-04-13 12:59:19,RT @nexta_tv: #Ukrainian intelligence reports that #Russia's leadership ordered to destroy any evidence of its army's crimes and therefore…
48,2022-04-13 12:59:17,"RT @RSF_inter: RSF condemns the malicious &amp; sophisticated attack against @gazeta_wyborcza, #Poland's largest independent newspaper. Aiming…"
49,2022-04-13 12:59:16,"RT @InnaSovsun: Latin American countries have finally joined the anti-russian front🔥
Chile🇨🇱 and Argentina🇦🇷 have stopped selling lithium t…"
50,2022-04-13 12:59:14,"Our best hope of preventing genocides may be by strengthening liberal democracies which have been weakened in the last decades.

@UCL_EI 
#Genocide 
#GenocideOfUkrainians 
#PutinIsaWarCriminal 
#Putin 
#WarCrimes 
#Nazi 
#Holocaust 
#Russia 

https://t.co/ng9hqsQlrv"
51,2022-04-13 12:59:14,"RT @suspilne_news: For the first time in 22 years, Greece will start exploration of local natural gas deposits to break free from the energ…"
52,2022-04-13 12:59:02,"RT @NuestraIraSLG: #URZUF—Base of #Azov #Ukraine|ian #NationalGuard regiment in Urzuf (halfway between #Mariupol and #Berdyansk), seized by…"
53,2022-04-13 12:59:00,"Free press in west is myth. MSM is in cahoots with their governments. They do not present facts, their mission is to keep the local populations in support of the war. The best news source is #RT. They give both sides and no spin. #Russia #Ukraine 'New World Order' European Union"
54,2022-04-13 12:59:00,"RT @Arslon_Xudosi: #Ukraine: A Ukrainian COTS drone dropping munition on a #Russia-n vehicle, destroying it. https://t.co/qTq14JBnTh"
55,2022-04-13 12:58:59,"RT @LevinaNeythiri: 1/2 
Interesting updates frm #Ukraine-#Russia 
~President Putin said Military build up is defensive &amp; pose NO threat.
B…"
56,2022-04-13 12:58:57,RT @nexta_tv: #Ukrainian intelligence reports that #Russia's leadership ordered to destroy any evidence of its army's crimes and therefore…
57,2022-04-13 12:58:53,"RT @JoeBro20802650: #Russia  and Kyrgyzstan will unite air defense, the agreement is sent for domestic approval, General Grekhov, deputy ch…"
58,2022-04-13 12:58:50,"RT @Blue_Sauron: MRLS and artillery units of the Ukrainian 14th Mechanized Brigade hammering Russian forces.
#Russia #Ukraine https://t.co/…"
59,2022-04-13 12:58:49,"#Russia  and Kyrgyzstan will unite air defense, the agreement is sent for domestic approval, General Grekhov, deputy chairman of the CIS profile committee, said.

#Ukraine #UkraineUnderAttack #Putin #war"
60,2022-04-13 12:58:48,"RT @Charles_Lister: In addition to POM-3s, #Russia is also dropping ""scatterable mines"" in #Ukraine.

PTM-1s are disseminated by rockets in…"
61,2022-04-13 12:58:40,RT @lesiavasylenko: 16 y.o. Karina raped by #Russia soldiers and shot in the head. Her mother’s search for her ended as her tortured body w…
62,2022-04-13 12:58:39,"RT @Blue_Sauron: MRLS and artillery units of the Ukrainian 14th Mechanized Brigade hammering Russian forces.
#Russia #Ukraine https://t.co/…"
63,2022-04-13 12:58:39,RT @lesiavasylenko: 16 y.o. Karina raped by #Russia soldiers and shot in the head. Her mother’s search for her ended as her tortured body w…
64,2022-04-13 12:58:39,RT @ReadovkaWorld: Russia is ready to sell oil and oil products to friendly countries in any price range — Russian Minister of Energy Nikol…
65,2022-04-13 12:58:36,"RT @TGTM_Official: This sure didn't age well lmao

Political cartoon posted by in February 2022 by CCP, smearing #America of lying about #R…"
66,2022-04-13 12:58:36,"Karim Khan ‚Ukraine is a crime scene'
The International Criminal Court's chief prosecutor visited #Bucha on Wednesday. 
""Ukraine is a crime scene“ 
#ukraine #russia #kremlin #moscow #putin #war #StopPutin #FreeUkraine https://t.co/wHXD7BWTZn"
67,2022-04-13 12:58:32,"RT @LeoVenez: Imagine invading a neighbouring country because it is about to join a defensive alliance, not winning the war as you expected…"
68,2022-04-13 12:58:32,RT @ukraine_insight: Satellite photo of Mariupol from Maxar Technologies. #StandUpForUkraine #Russia #Ukraine #NATO #StopPutinNOW https://t…
69,2022-04-13 12:58:28,"RT @ukraine_world: 16 y.o. Karina was raped by #Russia soldiers and shot in the head. Her tortured body was found in #Bucha.
#BuchaMassacre…"
70,2022-04-13 12:58:27,RT @JeremyPhuture66: #Russia know not to start war with #America this country will never get taken over due to #WarCrimes
71,2022-04-13 12:58:27,"RT @CanadianUkrain1: Posad-Pokrovs'ke, #Kherson region, after continuous #Russian shelling.

#Ukraine #Russia https://t.co/bQLfX3pyVP"
72,2022-04-13 12:58:25,"RT @dorfman_p: What's to happen with all the glowing 'new nuclear' Russia wants to build world-wide ?

#nuclear  #Ukraine #Russia #Rosatom…"
73,2022-04-13 12:58:23,"RT @war_noir: #Russia #Ukraine 🇷🇺🇺🇦: #Ukrainian Combatants with quite interesting weapons:

An Mk 18 ""Mod III"" (Geissele URG-I) AR rifle an…"
74,2022-04-13 12:58:21,RT @RisksAssociated: Zelensky praises Biden after he says Putin committing genocide https://t.co/602MZKGYyf #Ukraine #Russia #News
75,2022-04-13 12:58:21,"RT @NuestraIraSLG: #URZUF—Base of #Azov #Ukraine|ian #NationalGuard regiment in Urzuf (halfway between #Mariupol and #Berdyansk), seized by…"
76,2022-04-13 12:58:21,"RT @NuestraIraSLG: #URZUF—Base of #Azov #Ukraine|ian #NationalGuard regiment in Urzuf (halfway between #Mariupol and #Berdyansk), seized by…"
77,2022-04-13 12:58:17,"RT @raging545: VIDEO from St. Petersburg,Russia of over a hundred ambulances,etc carrying wounded Russian soldiers from Ukraine to hospital…"
78,2022-04-13 12:58:16,RT @npunwani: My ⁦@WSJopinion⁩ letter on ⁦⁦@RepRoKhanna’s⁩ crazy energy policy. It would strangle US hydrocarbon production &amp; hurt #India…
79,2022-04-13 12:58:15,"#Serbia ’s Vucic calls  #Montenegro ’s President and #Kosovo ’s PM “hyenas” and “famine flies”

 https://t.co/yIjSWMHb21 via @dtt_net_english 

#Balkans #Russia #China #UK #USA
@avucic @predsjednik_cg @albinkurti https://t.co/KCjFuI3yL6"
80,2022-04-13 12:58:14,"RT @Blue_Sauron: MRLS and artillery units of the Ukrainian 14th Mechanized Brigade hammering Russian forces.
#Russia #Ukraine https://t.co/…"
81,2022-04-13 12:58:10,"RT @etribune: Pope Francis on Wednesday blasted the “armed aggression” of Ukraine as blasphemy and betrayal of God.

For more: https://t.co…"
82,2022-04-13 12:58:08,RT @maxkootsg: Take down the Chinese Communist Party jacket. #Ukraine #Украйна  #Ukraina #乌克兰 #Russia #NFSCRescue #ROLFRescue #RESCUE #help…
83,2022-04-13 12:58:07,RT @nexta_tv: ❗️#Britain bans imports of cast iron and steel from #Russia as of April 14.
84,2022-04-13 12:58:07,"#Russia will view U.S. and #NATO vehicles transporting #weapons on Ukrainian territory as legitimate military #targets, Deputy Foreign Minister Sergei #Ryabkov told the TASS news agency in an interview on Wednesday. https://t.co/kLsXZ4lIvu"
85,2022-04-13 12:58:06,RT @JeremyPhuture66: #Russia know not to start war with #America this country will never get taken over due to #WarCrimes
86,2022-04-13 12:58:06,RT @nexta_tv: #Ukrainian intelligence reports that #Russia's leadership ordered to destroy any evidence of its army's crimes and therefore…
87,2022-04-13 12:58:04,RT @lesiavasylenko: 16 y.o. Karina raped by #Russia soldiers and shot in the head. Her mother’s search for her ended as her tortured body w…
88,2022-04-13 12:58:04,RT @raging545: IMAGES via @Maxar satellite showing a large Russian force grouping near Belgord along the 14k-34 highway that leads from Sol…
89,2022-04-13 12:58:03,"#Russia’s tactics in #Ukraine are similar to its military offensive in #Syria, Ukraine’s Foreign Affairs Minister Dmytro Kuleba says in an interview with Al Hadath. 

https://t.co/sAX65wC0Y0 https://t.co/SkM7JPNSp1"
90,2022-04-13 12:58:03,"RT @EstonianWorld: Zelenskyy in a speech to the Estonian parliament, Riigikogu: Russia must not receive any money from European states or c…"
91,2022-04-13 12:58:02,RT @EuroConOfficial: ❗️A statement from the Russian government repeated Moscow’s long-standing opposition to further #expansion of #NATO. T…
92,2022-04-13 12:58:02,"#Russia's oil-storage facilities are filling up, refineries are cutting output and crude-oil wells are reducing production—a blow for the country's economy as Moscow wages war on #Ukraine https://t.co/imSzF1Wqjo"
93,2022-04-13 12:58:00,"https://t.co/iRv08ngapL

How long can 8.5% price increases continue???

If we can stop the #UkraineRussiaWar we might reduce grocery #prices and auto prices. 

#UkraineWar #war #Russia #Ukraine #RussianArmy #RussiaUkraineWar #Ukrainian  #Russian #Ukraina #RussiaInvadedUkraine"
94,2022-04-13 12:57:56,"RT @MunSecConf: Even before #Russia launched its attack on #Ukraine, Estonian Prime Minister @kajakallas warned Western leaders not to make…"
95,2022-04-13 12:57:55,"RT @lesiavasylenko: Graveyard of civilian cars shot by artillery in and around #Bucha area. All the owners tried to escape, most were child…"
96,2022-04-13 12:57:54,"RT @RSF_inter: RSF condemns the malicious &amp; sophisticated attack against @gazeta_wyborcza, #Poland's largest independent newspaper. Aiming…"
97,2022-04-13 12:57:51,"#Russia says #US and #NATO vehicles delivering weapons on #Ukrainian soil will be considered legitimate military targets. Deputy Foreign Minister TASS
#RussianUkrainianWar"
98,2022-04-13 12:57:51,RT @nexta_tv: #Ukrainian intelligence reports that #Russia's leadership ordered to destroy any evidence of its army's crimes and therefore…
99,2022-04-13 12:57:51,RT @lesiavasylenko: 16 y.o. Karina raped by #Russia soldiers and shot in the head. Her mother’s search for her ended as her tortured body w…
100,2022-04-13 12:57:50,"RT @lesiavasylenko: Graveyard of civilian cars shot by artillery in and around #Bucha area. All the owners tried to escape, most were child…"
101,2022-04-13 12:57:49,RT @raging545: Ukrainian troops will be going to the UK to be trained in handling the 120 armored vehicles that will be sent to the country…
102,2022-04-13 12:57:48,"RT @LevinaNeythiri: BIG: 
1️⃣Sweden &amp; Finland’s PMs have announced they will soon be joining #NATO.
Finland’s PM says it will happen within…"
103,2022-04-13 12:57:44,"RT @etribune: Pope Francis on Wednesday blasted the “armed aggression” of Ukraine as blasphemy and betrayal of God.

For more: https://t.co…"
104,2022-04-13 12:57:44,RT @lesiavasylenko: 16 y.o. Karina raped by #Russia soldiers and shot in the head. Her mother’s search for her ended as her tortured body w…
105,2022-04-13 12:57:43,"RT @Awet32911696: When #Russia invaded #Ukraine, z whole world cried but z whole world was watching &amp; ignoring when #Eritrea]n dictator Mar…"
106,2022-04-13 12:57:41,#Russia know not to start war with #America this country will never get taken over due to #WarCrimes
107,2022-04-13 12:57:40,"Wow. A fragment of reality in the @nytimes: 
""All major powers desire strategic breathing room, which is why #Russia has objected to NATO’s expansion. NATO may be defensive but brings to bear power Russia understandably does not want parked near.""
https://t.co/wQontcupwZ"
108,2022-04-13 12:57:39,"RT @MapsUkraine: #RUSSIA 

Another Russian military convoy departed from the Kursk region towards the Ukrainian border, and as usual with R…"
109,2022-04-13 12:57:39,RT @themankhosi: [BREAKINGNEWS] Volodymyr Zelensky have just arrested Opposition Platform  leader Viktor Medvedchuk and jail him for life f…
110,2022-04-13 12:57:34,"P7

I’m not sure where it’s but very seriously episode’s here as #AnnaNews filming it

It huge military logistics / tanks &amp; shelling &gt;&gt; it have to be in #Marioupol or #Popasna #Severodonetsk of #Donbass #Donestk #Luhansk etc

Watch the battles for dead &amp; allive

#ukraine #Russia https://t.co/i74YNLgCe8"
111,2022-04-13 12:57:32,RT @JavierBlas: Germany’s ambassador in Washington about her country’s reluctance to stop importing gas from Russia immediately (read her w…
112,2022-04-13 12:57:30,"RT @KomsaAgnieszka: ‼️""This is an orgy of killing. Intercepted phone calls back to their (#Russiansoldiers') homes show that they’re happy…"
113,2022-04-13 12:57:29,"RT @twolilsZ: Hug a poor little N*** and brutal murd**er today. 🙏🙏😭😭😭😭

🙄🤢🤮🤬

#Putin #IStandWithPutin #istandwithrussia #NaziUkraine #Russi…"
114,2022-04-13 12:57:28,"RT @France24_en: 🇺🇦 ""We keep urging, every day, every morning to the entire global community that we need to stand together to liberate #Ma…"
115,2022-04-13 12:57:28,"RT @lesiavasylenko: Graveyard of civilian cars shot by artillery in and around #Bucha area. All the owners tried to escape, most were child…"
116,2022-04-13 12:57:24,"RT @Blue_Sauron: MRLS and artillery units of the Ukrainian 14th Mechanized Brigade hammering Russian forces.
#Russia #Ukraine https://t.co/…"
117,2022-04-13 12:57:22,"RT @David_McNair: Yesterday #Russia missed its first debt payment. 

Today #SriLanka did the same. 

In 30 days they will be in default.…"
118,2022-04-13 12:57:21,"RT @TpyxaNews: From Poland.

#Ukraine #Russia #TPYXA https://t.co/js6Xh1B6aM"
119,2022-04-13 12:57:20,RT @JavierBlas: Germany’s ambassador in Washington about her country’s reluctance to stop importing gas from Russia immediately (read her w…
120,2022-04-13 12:57:17,"⚡ Dear applicants for the Russian government #scholarships!👨‍🎓
You can now trace status of your application on https://t.co/w4IJPvY1rl

#Russia #Kenya #Students https://t.co/74HzVEKwYf"
121,2022-04-13 12:57:12,RT @npunwani: My ⁦@WSJopinion⁩ letter on ⁦⁦@RepRoKhanna’s⁩ crazy energy policy. It would strangle US hydrocarbon production &amp; hurt #India…
122,2022-04-13 12:57:12,RT @olex_scherba: Deputy mayor of #Dnipro Mykhailo Lysenko urges #Russia: please come &amp; get your 1500 dead soldiers clogging our morgues!…
123,2022-04-13 12:57:09,"RT @andreasmoun: Alternative Payment Mechanism for Global South 
 
Some analysts also feel the #rupee-#rouble trade mechanism could open an…"
124,2022-04-13 12:57:08,RT @raging545: VIDEO from Mariupol show Azov Battalion continuing to destroy Russian armored vehicles in the beseiged city. #Ukraine #Russi…
125,2022-04-13 12:57:08,"RT @NATOSource: Former #CIA Dir. @jmclaughlinSAIS: ""it’s probably time for #NATO to take more risks... if he [@ZelenskyyUa] wants airplanes…"
126,2022-04-13 12:57:07,"RT @Blue_Sauron: MRLS and artillery units of the Ukrainian 14th Mechanized Brigade hammering Russian forces.
#Russia #Ukraine https://t.co/…"
127,2022-04-13 12:57:05,"Kremlin: Persecution of Medvedchuk for His Political Views Exposes True Nature of Kiev Regime

#Kremlin #Persecution #Medvedchuk #Kiev #TrueNature #Ukraine #Russia #SputnikNews #HeadLines https://t.co/fwUgTHYNhD"
128,2022-04-13 12:57:03,"RT @josephkiefer77: I think the US had bioweapons labs in Ukraine;
I think the US and NATO provoked Russia;
I think Ukraine did war crimes…"
129,2022-04-13 12:57:02,"RT @anonymousk_k_k_: Tanks bombard the cameraman
#Ukraine #Russia #war #tank #Anonymous https://t.co/rsmB10VYbL"
130,2022-04-13 12:57:01,"RT @cblenker: Finlands #NATO report says, a membership :

• would enhance the stability of the region in the long term.

• would not oblige…"
131,2022-04-13 12:56:59,@AdamKinzinger @GOPLeader But where will @RepMTG's pal #NeoNazis get their training? #Russia?
132,2022-04-13 12:56:53,"RT @LucyKook4: #Russia has sent military vehicles to the border with #Finland, while #Helsinki is discussing #NATO membership

#Anonymous
#…"
133,2022-04-13 12:56:51,RT @raging545: VIDEO from Mariupol show Azov Battalion continuing to destroy Russian armored vehicles in the beseiged city. #Ukraine #Russi…
134,2022-04-13 12:56:51,RT @lesiavasylenko: 16 y.o. Karina raped by #Russia soldiers and shot in the head. Her mother’s search for her ended as her tortured body w…
135,2022-04-13 12:56:50,"Iran's support for the Ukrainians is noteworthy.. as its potential impact on the JCPOA v2
#Iran #Ukraine #Russia https://t.co/P1d7fvRXCH"
136,2022-04-13 12:56:48,This greedy callous kid turned into a murderer of thousands of innocent people and actually believes he has the right to do so. @IngrahamAngle @seanhannity #UkraineRussia #Russia #Putin @elonmusk #ElonMusk https://t.co/L9wI5BG3vt
137,2022-04-13 12:56:47,"RT @TibetPeople: @SoumyaBhandar18 @SayNoToSino More than 60% of #China’s lands are occupied Countries, call #OccupiedTibet or occupied #Eas…"
138,2022-04-13 12:56:44,"RT @David_McNair: Yesterday #Russia missed its first debt payment. 

Today #SriLanka did the same. 

In 30 days they will be in default.…"
139,2022-04-13 12:56:44,"RT @timand2037: Not only is the #NATO embedded media campaign against #Russia overflowing with hypocrisy, it blinds its audience to #Washin…"
140,2022-04-13 12:56:44,"Pope Francis on Wednesday blasted the “armed aggression” of Ukraine as blasphemy and betrayal of God.

For more: https://t.co/lFi3NnYXpv

#etribune #news #popefrancis #Ukraine #Russia"
141,2022-04-13 12:56:43,"RT @kiosse1809: #Russia began to withdraw troops to the border with #Finland after applications to join #NATO

Heavy weapons, including mis…"
142,2022-04-13 12:56:41,"RT @olex_scherba: 8 years ago, on a Palm Sunday, #Russia shed the first combat blood in Donbas. Special-ops group ambushed a group of #Ukra…"
143,2022-04-13 12:56:41,Satellite photo of Mariupol from Maxar Technologies. #StandUpForUkraine #Russia #Ukraine #NATO #StopPutinNOW https://t.co/ZhSU34PHas
144,2022-04-13 12:56:41,"RT @revishvilig: Putin's mouth #Peskov on the possible exchange of #Medvedchuk: ""Medvedchuk is not a citizen of #Russia, but a foreign poli…"
145,2022-04-13 12:56:38,RT @lesiavasylenko: 68% of Finns and 59% of Swedes are in favor of @NATO membership. #Russia of course says it’s all about confrontation. W…
146,2022-04-13 12:56:36,"“How the Russian Invasion Is Helping the US Recruit Spies: For those Russians on the edge of helping intelligence agencies chip away at #Russia, a distaste for the war in #Ukraine is the perfect moment to boost spy-recruiting efforts.”

https://t.co/iqPHiyo29j"
147,2022-04-13 12:56:36,"RT @AceJaceu: #Ukraine / #Russia:

A small footage where we can see the Bayraktar TB2 of the Ukrainian Military helping their Artillery tar…"
148,2022-04-13 12:56:34,RT @lesiavasylenko: 16 y.o. Karina raped by #Russia soldiers and shot in the head. Her mother’s search for her ended as her tortured body w…
149,2022-04-13 12:56:34,"RT @jakluge: How are #Russia's #oil exports doing? Pretty good so far. Export to non-former-Soviet-Union countries increased in March, to 2…"
150,2022-04-13 12:56:34,"RT @InnaSovsun: Latin American countries have finally joined the anti-russian front🔥
Chile🇨🇱 and Argentina🇦🇷 have stopped selling lithium t…"
151,2022-04-13 12:56:33,"RT @AceJaceu: #Ukraine / #Russia:

A small footage where we can see the Bayraktar TB2 of the Ukrainian Military helping their Artillery tar…"
152,2022-04-13 12:56:32,"Stop #Russia's rape of #Ukraine 
#PutinWarCrimes 
#РоссияСмотри 
#россиядумай 
#БучанськаРізанина 
#Буча https://t.co/YuCfOtAoZC"
153,2022-04-13 12:56:32,"RT @timand2037: Not only is the #NATO embedded media campaign against #Russia overflowing with hypocrisy, it blinds its audience to #Washin…"
154,2022-04-13 12:56:32,RT @lesiavasylenko: 16 y.o. Karina raped by #Russia soldiers and shot in the head. Her mother’s search for her ended as her tortured body w…
155,2022-04-13 12:56:30,"RT @LevinaNeythiri: BIG: 
1️⃣Sweden &amp; Finland’s PMs have announced they will soon be joining #NATO.
Finland’s PM says it will happen within…"
156,2022-04-13 12:56:19,"RT @CanadianUkrain1: Posad-Pokrovs'ke, #Kherson region, after continuous #Russian shelling.

#Ukraine #Russia https://t.co/bQLfX3pyVP"
157,2022-04-13 12:56:18,RT @DominicFarrell: #Zelensky has blocked a proposed visit to #Kyiv by the German President. All you need to know #FBPE 🇪🇺 #Ukraine #Russia…
158,2022-04-13 12:56:18,"RT @SeifGebre: 2 mons of conflict in #Ukraine, @POTUS describe #Russia’s action #genocide

Yet 17 months of atrocities &amp; ample evidences of…"
159,2022-04-13 12:56:16,"RT @ferozwala: #BREAKING 
Kremlin: Persecution of #ViktorMedvedchuk for His Political View Exposes True Nature of #Kiev_Kyiv Regime 

#Sput…"
160,2022-04-13 12:56:12,"#Russia has sent military vehicles to the border with #Finland, while #Helsinki is discussing #NATO membership

#Anonymous
#StandUpForUkraine

https://t.co/5HaCHVPQ5f"
